study_id,record_id,title,year,doi,phase,pair_a_coders,pair_b_coders,single_coder
S001,REC_00715,Effects and acceptance of precision education in an AI-supported smart learning environment,2022,10.1007/s10639-021-10664-3,Phase 0: Calibration,"R1, R2, R3, R4","R1, R2, R3, R4",
S002,REC_00718,Understanding key drivers affecting students' use of artificial intelligence-based voice assistants,2022,10.1007/s10639-022-10947-3,Phase 2: Single,,,R4
S003,REC_00720,"Adoption, use and enhancement of virtual learning during COVID-19",2022,10.1007/s10639-022-10985-x,Phase 1: Pair B,,"R3, R4",
S004,REC_14042,AI-Based Chatbots Adoption Model for Higher-Education Institutions: A Hybrid PLS-SEM-Neural Network Modelling Approach,2022,10.3390/su141912726,Phase 2: Single,,,R4
S005,REC_02174,Exploring the role of intrinsic motivation in ChatGPT adoption to support active learning: An extension of the technology acceptance model,2023,10.1016/j.caeai.2023.100178,Phase 1: Pair A,"R1, R2",,
S006,REC_02175,ChatGPT in higher education learning: Acceptance and use,2023,10.1016/j.caeai.2023.100190,Phase 2: Single,,,R1
S007,REC_06594,The impact of technology readiness and use perceptions on students’ adoption of artificial intelligence: the moderating role of gender,2023,10.1108/DLO-07-2022-0133,Phase 1: Pair B,,"R3, R4",
S008,REC_07574,Understanding the Factors Influencing Higher Education Students' Intention to Adopt Artificial Intelligence-Based Robots,2023,10.1109/ACCESS.2023.3314499,Phase 2: Single,,,R3
S009,REC_10820,Examining students' intention to use ChatGPT: Does trust matter?,2023,10.14742/ajet.8956,Phase 1: Pair A,"R1, R2",,
S010,REC_13258,To use or not to use? Understanding doctoral students' acceptance of ChatGPT in writing through technology acceptance model,2023,10.3389/fpsyg.2023.1259531,Phase 0: Calibration,"R1, R2, R3, R4","R1, R2, R3, R4",
S011,REC_13681,Modeling Students' Perceptions of Chatbots in Learning: Integrating Technology Acceptance with the Value-Based Adoption Model,2023,10.3390/educsci13111151,Phase 1: Pair B,,"R3, R4",
S012,REC_14052,"Determinants of Intentions to Use Digital Mental Healthcare Content among University Students, Faculty, and Staff: Motivation, Perceived Usefulness, Perceived Ease of Use, and Parasocial Interaction with AI Chatbot",2023,10.3390/su15010872,Phase 1: Pair A,"R1, R2",,
S013,REC_15354,Use of ChatGPT at University as a Tool for Complex Thinking: Students' Perceived Usefulness,2023,10.7821/naer.2023.7.1458,Phase 1: Pair B,,"R3, R4",
S014,REC_00743,Investigating student acceptance of an academic advising chatbot in higher education institutions,2024,10.1007/s10639-023-12076-x,Phase 1: Pair B,,"R3, R4",
S015,REC_00750,Factors influencing students' intention to adopt and use ChatGPT in higher education: A study in the Vietnamese context,2024,10.1007/s10639-023-12333-z,Phase 2: Single,,,R2
S016,REC_00758,Gen-AI integration in higher education: Predicting intentions using SEM-ANN approach,2024,10.1007/s10639-024-12506-4,Phase 1: Pair A,"R1, R2",,
S017,REC_00762,Investigating AI-based academic support acceptance and its impact on students' performance in Malaysian and Pakistani higher education institutions,2024,10.1007/s10639-024-12599-x,Phase 1: Pair B,,"R3, R4",
S018,REC_00766,Examining the moderating effect of motivation on technology acceptance of generative AI for English as a foreign language learning,2024,10.1007/s10639-024-12763-3,Phase 1: Pair B,,"R3, R4",
S019,REC_00902,Students' Acceptance of ChatGPT in Higher Education: An Extended Unified Theory of Acceptance and Use of Technology,2024,10.1007/s10755-023-09686-1,Phase 1: Pair A,"R1, R2",,
S020,REC_02179,"Integrating the adapted UTAUT model with moral obligation, trust and perceived risk to predict ChatGPT adoption for assessment support: A survey with students",2024,10.1016/j.caeai.2024.100246,Phase 1: Pair A,"R1, R2",,
S021,REC_02188,"Exploring the paradoxical use of ChatGPT in education: Analyzing benefits, risks, and coping strategies through integrated UTAUT and PMT theories using a hybrid approach of SEM and fsQCA",2024,10.1016/j.caeai.2024.100329,Phase 1: Pair B,,"R3, R4",
S022,REC_02212,Do in-service teachers accept artificial intelligence-driven technology? The mediating role of school support and resources,2024,10.1016/j.caeo.2024.100191,Phase 2: Single,,,R4
S023,REC_02343,Chat-GPT; validating Technology Acceptance Model (TAM) in education sector via ubiquitous learning mechanism,2024,10.1016/j.chb.2023.108097,Phase 2: Single,,,R4
S024,REC_02728,Extended TAM based acceptance of AI-Powered ChatGPT for supporting metacognitive self-regulated learning in education: A mixed-methods study,2024,10.1016/j.heliyon.2024.e29317,Phase 1: Pair A,"R1, R2",,
S025,REC_03884,ChatGPT acceptance and use through UTAUT and TPB: A big survey in five Indonesian Universities,2024,10.1016/j.ssaho.2024.101136,Phase 2: Single,,,R3
S026,REC_04767,Impact of AI chatbots on EFL learners' technology adoption,2024,10.1075/is.24019.hua,Phase 2: Single,,,R3
S027,REC_05107,Understanding University Students' Acceptance of ChatGPT: Insights from the UTAUT2 Model,2024,10.1080/08839514.2024.2371168,Phase 1: Pair B,,"R3, R4",
S028,REC_05388,Factors Influencing Learner Attitudes Towards ChatGPT-Assisted Language Learning in Higher Education,2024,10.1080/10447318.2023.2261725,Phase 2: Single,,,R4
S029,REC_05486,To use or not to use ChatGPT in higher education? A study of students' acceptance and use of technology,2024,10.1080/10494820.2023.2209881,Phase 2: Single,,,R2
S030,REC_06019,Revolutionizing education: Artificial intelligence empowered learning in higher education,2024,10.1080/2331186x.2023.2293431,Phase 1: Pair A,"R1, R2",,
S031,REC_06020,Exploring pre-service biology teachers' intention to teach genetics using an AI intelligent tutoring - based system,2024,10.1080/2331186X.2024.2310976,Phase 2: Single,,,R4
S032,REC_06031,Investigating the adoption of AI in higher education: a study of public universities in Indonesia,2024,10.1080/2331186X.2024.2380175,Phase 2: Single,,,R3
S033,REC_06032,An exploratory study of artificial intelligence adoption in higher education,2024,10.1080/2331186X.2024.2386892,Phase 1: Pair B,,"R3, R4",
S034,REC_06066,Economics students' behavioural intention and usage of ChatGPT in higher education: a hybrid structural equation modelling-artificial neural network approach,2024,10.1080/23311886.2023.2300177,Phase 2: Single,,,R2
S035,REC_06994,Students' adoption of AI-based teacher-bots (T-bots) for learning in higher education,2024,10.1108/itp-02-2021-0152,Phase 1: Pair A,"R1, R2",,
S036,REC_07104,Second language writing anxiety and ChatGPT adoption as an automated writing evaluation tool,2024,10.1108/JARHE-06-2024-0260,Phase 2: Single,,,R2
S037,REC_07192,Examining ChatGPT adoption among educators in higher educational institutions using extended UTAUT model,2024,10.1108/jices-03-2024-0033,Phase 1: Pair B,,"R3, R4",
S038,REC_07274,Integrating Tam and UGT to explore students’ motivation for using ChatGPT for learning in Vietnam,2024,10.1108/JRIT-05-2024-0116,Phase 1: Pair A,"R1, R2",,
S039,REC_07602,College Teachers' Behavioral Intention to Adopt Artificial Intelligence-Assisted Teaching Systems,2024,10.1109/ACCESS.2024.3445909,Phase 2: Single,,,R3
S040,REC_07876,Investigation of the moderation effect of gender and study level on the acceptance and use of generative AI by higher education students: Comparative evidence from Poland and Egypt,2024,10.1111/bjet.13425,Phase 2: Single,,,R1
S041,REC_07879,"Using explainable AI to unravel classroom dialogue analysis: Effects of explanations on teachers' trust, technology acceptance and cognitive load",2024,10.1111/bjet.13466,Phase 1: Pair A,"R1, R2",,
S042,REC_07976,University Learners' Readiness for ChatGPT-Assisted English Learning: Scale Development and Validation,2024,10.1111/ejed.12886,Phase 1: Pair A,"R1, R2",,
S043,REC_08196,Factors Influencing University Students' Behavioural Intention to Use Generative Artificial Intelligence for Educational Purposes Based on a Revised UTAUT2 Model,2024,10.1111/jcal.13105,Phase 2: Single,,,R1
S044,REC_08981,Factors Shaping the Adoption of AI Tools among Gen Z: An Extended UTAUT2 Model Investigation Using CB-SEM,2024,10.1177/02704676241283362,Phase 1: Pair A,"R1, R2",,
S045,REC_09420,Development and Validation of the Artificial Intelligence Learning Intention Scale (AILIS) for University Students,2024,10.1177/21582440241242188,Phase 1: Pair B,,"R3, R4",
S046,REC_09430,Factors Influencing the Acceptance of ChatGPT in High Education: An Integrated Model With PLS-SEM and fsQCA Approach,2024,10.1177/21582440241289835,Phase 0: Calibration,"R1, R2, R3, R4","R1, R2, R3, R4",
S047,REC_09729,AI in medical education: the moderating role of the chilling effect and STARA awareness,2024,10.1186/s12909-024-05627-4,Phase 1: Pair A,"R1, R2",,
S048,REC_09969,Acceptance of artificial intelligence and its effect on entrepreneurial intention in foreign trade students: a mirror analysis,2024,10.1186/s13731-024-00412-5,Phase 1: Pair B,,"R3, R4",
S049,REC_10258,New Challenges of Learning Accounting With Artificial Intelligence: The Role of Innovation and Trust in Technology,2024,10.12973/eu-jer.13.1.183,Phase 1: Pair B,,"R3, R4",
S050,REC_11131,"Exploring indian students’ perception, behavioral intentions, and motivation for learning with chatgpt",2024,10.17010/pijom/2024/v17i12/174055,Phase 2: Single,,,R1
S051,REC_11281,Factors Affecting Students’ Willingness to Use Artificial Intelligence in University Settings,2024,10.18178/ijiet.2024.14.12.2207,Phase 1: Pair B,,"R3, R4",
S052,REC_11451,Understanding teachers' intentions and use of AI tools for research,2024,10.20368/1971-8829/1135969,Phase 1: Pair A,"R1, R2",,
S053,REC_11866,"Utilization of, Perceptions on, and Intention to Use AI Chatbots Among Medical Students in China: National Cross-Sectional Study",2024,10.2196/57132,Phase 1: Pair B,,"R3, R4",
S054,REC_12203,Using Artificial Intelligence Technology to Improve Business English Language Teaching Effectiveness,2024,10.2478/amns-2024-2365,Phase 1: Pair A,"R1, R2",,
S055,REC_12376,Exploring Factors Influencing Gen Z's Acceptance and Adoption of AI and Cloud-Based Applications and Tools in Academic Attainment,2024,10.28991/ESJ-2024-08-03-02,Phase 0: Calibration,"R1, R2, R3, R4","R1, R2, R3, R4",
S056,REC_12567,Impact and Perspectives of Generative Artificial Intelligence in Higher Education: A Study on Lecturers' Perception and Adoption using the AETGE/GATE Model; Impacto y Perspectivas de la Inteligencia Artificial Generativa en la Educación Superior: Un Estudio sobre la Percepción y Adopción Docente usando el modelo AETGE/GATE,2024,10.48009/3_iis_2024_119,Phase 2: Single,,,R2
S057,REC_13687,Acceptance of Educational Artificial Intelligence by Teachers and Its Relationship with Some Variables and Pedagogical Beliefs,2024,10.3390/educsci14070740,Phase 1: Pair B,,"R3, R4",
S058,REC_13699,"Modeling Teachers' Acceptance of Generative Artificial Intelligence Use in Higher Education: The Role of AI Literacy, Intelligent TPACK, and Perceived Trust",2024,10.3390/educsci14111209,Phase 2: Single,,,R4
S059,REC_13749,Examining Students' Acceptance and Use of ChatGPT in Saudi Arabian Higher Education,2024,10.3390/ejihpe14030047,Phase 1: Pair B,,"R3, R4",
S060,REC_13881,Determinants of Humanities and Social Sciences Students' Intentions to Use Artificial Intelligence Applications for Academic Purposes,2024,10.3390/info15060314,Phase 2: Single,,,R1
S061,REC_13891,Chatbot Technology Use and Acceptance Using Educational Personas,2024,10.3390/informatics11020038,Phase 1: Pair B,,"R3, R4",
S062,REC_13892,AI Literacy and Intention to Use Text-Based GenAI for Learning: The Case of Business Students in Korea,2024,10.3390/informatics11030054,Phase 2: Single,,,R2
S063,REC_14089,The Use of AI-Driven Automation to Enhance Student Learning Experiences in the KSA: An Alternative Pathway to Sustainable Education,2024,10.3390/su16145970,Phase 2: Single,,,R2
S064,REC_14137,Exploring the Key Factors Influencing College Students' Willingness to Use AI Coding Assistant Tools: An Expanded Technology Acceptance Model,2024,10.3390/systems12050176,Phase 2: Single,,,R1
S065,REC_14450,Understanding Chinese University EFL Learners' Perceptions of AI in English Writing,2024,10.4018/IJCALLT.358918,Phase 1: Pair A,"R1, R2",,
S066,REC_14478,Factors Affecting the Adoption and Use of ChatGPT in Higher Education,2024,10.4018/IJICTE.339557,Phase 2: Single,,,R4
S067,REC_14749,Examining generative artificial intelligence adoption in academia: a UTAUT perspective,2024,10.48009/3_iis_2024_119,Phase 2: Single,,,R1
S068,REC_14878,Antecedents of adoption and usage of ChatGPT among Jordanian university students: Empirical study,2024,10.5267/j.ijdns.2023.11.024,Phase 2: Single,,,R1
S069,REC_14879,"Artificial intelligence in Jordanian education: Assessing acceptance via perceived cybersecurity, novelty value, and perceived trust",2024,10.5267/j.ijdns.2023.12.022,Phase 0: Calibration,"R1, R2, R3, R4","R1, R2, R3, R4",
S070,REC_14884,Factors affecting ChatGPT use in education employing TAM: A Jordanian universities’ perspective,2024,10.5267/j.ijdns.2024.3.007,Phase 2: Single,,,R4
S071,REC_14934,Artificial Intelligence Powered Pedagogy: Unveiling Higher Educators' Acceptance with Extended TAM,2024,10.53761/s1pkk784,Phase 2: Single,,,R1
S072,REC_15014,"The determinants of ChatGPT usage among accounting students: the role of habit, social influence, and facilitating conditions",2024,10.5604/01.3001.0054.7264,Phase 2: Single,,,R3
S073,REC_15051,Every Coin has Two Sides: Navigating Factors of Generative Pre-Trained Transformer Adoption Intentions Among Educators in Thailand,2024,10.57239/PJLSS-2024-22.1.00424,Phase 1: Pair B,,"R3, R4",
S074,REC_00090,Determinants of Adopting 3D Technology Integrated With Artificial Intelligence in STEM Higher Education: A UTAUT2 Model Approach,2025,10.1002/cae.70019,Phase 2: Single,,,R1
S075,REC_00780,The moderating role of technology proficiency and academic discipline in AI-chatbot adoption within higher education: Insights from a PLS-SEM analysis,2025,10.1007/s10639-024-13023-0,Phase 1: Pair B,,"R3, R4",
S076,REC_00784,Unveiling the drivers of ChatGPT utilization in higher education sectors: the direct role of perceived knowledge and the mediating role of trust in ChatGPT,2025,10.1007/s10639-024-13095-y,Phase 1: Pair B,,"R3, R4",
S077,REC_00793,Just learn it? How individual differences and HMSAM impact learners' intention to engage in AI-related education,2025,10.1007/s10639-024-13199-5,Phase 2: Single,,,R1
S078,REC_00807,Exploring the adoption of AI-enabled English learning applications among university students using extended UTAUT2 model,2025,10.1007/s10639-025-13349-3,Phase 1: Pair A,"R1, R2",,
S079,REC_00809,"Artificial intelligence teaching assistant adoption in university education: Key drivers through the ability, motivation and opportunity framework",2025,10.1007/s10639-025-13360-8,Phase 2: Single,,,R4
S080,REC_00818,Students' behavioural intention to use content generative AI for learning and research: A UTAUT theoretical perspective,2025,10.1007/s10639-025-13441-8,Phase 2: Single,,,R3
S081,REC_00821,Bridging expectations and reality: Addressing the price-value paradox in teachers' AI integration,2025,10.1007/s10639-025-13466-z,Phase 2: Single,,,R2
S082,REC_00824,International perspectives on artificial intelligence in higher education: An explorative study of students' intention to use ChatGPT across the Nordic countries and the USA,2025,10.1007/s10639-025-13492-x,Phase 2: Single,,,R1
S083,REC_00825,Modeling Chinese EFL learners' intention to use generative AI for L2 writing through an integrated model of the TAM and TTF,2025,10.1007/s10639-025-13505-9,Phase 1: Pair A,"R1, R2",,
S084,REC_00827,College students' use behavior of generative AI and its influencing factors under the unified theory of acceptance and use of technology model,2025,10.1007/s10639-025-13508-6,Phase 2: Single,,,R2
S085,REC_00829,Exploring factors that influence graduate students' intention to use generative artificial intelligence in academic research: PLS-SEM and fsQCA methods,2025,10.1007/s10639-025-13530-8,Phase 2: Single,,,R3
S086,REC_00831,The role of perceived utility and ethical concerns in the adoption of AI-based data analysis tools: A multi-group structural equation model analysis among academic researchers,2025,10.1007/s10639-025-13535-3,Phase 2: Single,,,R4
S087,REC_00832,Unlocking ChatGPT's potential: a comparative study of student adoption intentions in higher education across India and Poland,2025,10.1007/s10639-025-13536-2,Phase 1: Pair A,"R1, R2",,
S088,REC_00834,Exploring the acceptance of generative artificial intelligence-assisted learning and design creation among students in art design specialties: based on the extended TAM model,2025,10.1007/s10639-025-13551-3,Phase 1: Pair A,"R1, R2",,
S089,REC_00838,Are university teachers ready for generative artificial intelligence? Unpacking faculty anxiety in the ChatGPT era,2025,10.1007/s10639-025-13585-7,Phase 2: Single,,,R1
S090,REC_00840,Extending the TAM framework: Exploring learning motivation and agility in educational adoption of generative AI,2025,10.1007/s10639-025-13591-9,Phase 2: Single,,,R1
S091,REC_00841,Exploring user awareness and perceived usefulness of generative AI in higher education: The moderating role of trust,2025,10.1007/s10639-025-13612-7,Phase 1: Pair A,"R1, R2",,
S092,REC_00918,Is Anxiety Affecting the Adoption of ChatGPT in University Teaching? A Gender Perspective,2025,10.1007/s10758-025-09830-0,Phase 1: Pair B,,"R3, R4",
S093,REC_00922,Generative AI in Action: Acceptance and Use Among Higher Education Staff Pre- and Post-training,2025,10.1007/s10758-025-09915-w,Phase 2: Single,,,R3
S094,REC_00933,Instrumental and integrative motivations predict intention to use generative AI chatbots for English learning among undergraduates with non English majors in Chinese private universities,2025,10.1007/s10791-025-09753-5,Phase 2: Single,,,R1
S095,REC_01111,Students’ acceptance and use of generative AI in pharmacy education: international cross-sectional survey based on the extended unified theory of acceptance and use of technology,2025,10.1007/s11096-025-01936-w,Phase 2: Single,,,R4
S096,REC_01255,Understanding pre-service teachers' acceptance of generative artificial intelligence: an extended technology acceptance model approach,2025,10.1007/s11423-025-10495-w,Phase 1: Pair A,"R1, R2",,
S097,REC_01286,What Factors Affect the Adoption Intention and Actual Use of ChatGPT in Higher Education? The Moderating Role of Academic Integrity,2025,10.1007/s11528-025-01096-8,Phase 2: Single,,,R4
S098,REC_01467,Exploring the usage behavior of generative artificial intelligence: a case study of ChatGPT with insights into the moderating effects of habit and personal innovativeness,2025,10.1007/s12144-024-07193-w,Phase 1: Pair B,,"R3, R4",
S099,REC_01673,Factors influencing Chinese college students' intention to use AIGC: a study based on the UTAUT model,2025,10.1007/s13198-025-02772-x,Phase 2: Single,,,R3
S100,REC_01916,Impact of perceived ease of use and perceived usefulness of humanoid robots on students' intention to use,2025,10.1016/j.actpsy.2025.105217,Phase 0: Calibration,"R1, R2, R3, R4","R1, R2, R3, R4",
S101,REC_01922,Key factors influencing intention to use ChatGPT: An empirical study of U. S. students,2025,10.1016/j.actpsy.2025.105516,Phase 2: Single,,,R3
S102,REC_01931,The psychology of AI adoption in education: University students' intentions to use Large Language Models for learning from a TAM and TPB perspective,2025,10.1016/j.actpsy.2025.105789,Phase 1: Pair A,"R1, R2",,
S103,REC_01932,Association between Generative AI self-efficacy and Generative AI acceptance: The mediating role of Generative AI trust and the moderating role of Generative AI risk perception,2025,10.1016/j.actpsy.2025.105791,Phase 2: Single,,,R4
S104,REC_02192,A cross-national assessment of artificial intelligence (AI) Chatbot user perceptions in collegiate physics education,2025,10.1016/j.caeai.2025.100365,Phase 1: Pair A,"R1, R2",,
S105,REC_02194,"Extending the technology acceptance model: The role of subjective norms, ethics, and trust in AI tool adoption among students",2025,10.1016/j.caeai.2025.100379,Phase 2: Single,,,R1
S106,REC_02197,What influences college students using AI for academic writing? - A quantitative analysis based on HISAM and TRI theory,2025,10.1016/j.caeai.2025.100391,Phase 1: Pair A,"R1, R2",,
S107,REC_02204,Understanding of ChatGPT adoption among business school students,2025,10.1016/j.caeai.2025.100441,Phase 1: Pair B,,"R3, R4",
S108,REC_02205,Factors affecting acceptance of ChatGPT-4o by English language instructors: The extended TAM approach,2025,10.1016/j.caeai.2025.100452,Phase 2: Single,,,R4
S109,REC_02208,"Factors influencing intention to adopt an AI chatbot for learning in higher education: An integrated PLS-SEM, IPMA, and ANN approach",2025,10.1016/j.caeai.2025.100477,Phase 2: Single,,,R3
S110,REC_02358,ChatGPT in higher education - A Student's perspective,2025,10.1016/j.chbr.2024.100565,Phase 2: Single,,,R1
S111,REC_02756,Patients' Acceptance and Intentions on Using Artificial Intelligence in Dental Diagnosis: Insights From Unified Theory of Acceptance and Use of Technology 2 Model,2025,10.1016/j.identj.2025.103893,Phase 1: Pair A,"R1, R2",,
S112,REC_02906,Integrating AI chatbots for enhancing academic support in business education: A SEM-Based study toward sustainable learning,2025,10.1016/j.ijme.2025.101252,Phase 2: Single,,,R1
S113,REC_03259,Responsibility and AI: Exploring technology acceptance models,2025,10.1016/j.jik.2025.100852,Phase 1: Pair A,"R1, R2",,
